Value,LifeExpectancy,Year,Country,Continent
3274.024,83.0,2016,Italy,Europe
3376.084,82.7,2017,Italy,Europe
3495.868,83.2,2018,Italy,Europe
3565.324,83.6,2019,Italy,Europe
3753.088,82.4,2020,Italy,Europe
4042.558,82.9,2021,Italy,Europe
4692.311,81.8,2015,Luxembourg,Europe
4876.34,82.1,2016,Luxembourg,Europe
4989.031,81.7,2017,Luxembourg,Europe
5292.055,81.8,2018,Luxembourg,Europe
5379.663,82.1,2019,Luxembourg,Europe
5652.538,81.4,2020,Luxembourg,Europe
6273.571,82.6,2021,Luxembourg,Europe
1404.655,74.7,2015,Latvia,Europe
1613.805,74.8,2016,Latvia,Europe
1676.419,74.8,2017,Latvia,Europe
1860.969,75.0,2018,Latvia,Europe
2025.57,75.5,2019,Latvia,Europe
2227.896,75.5,2020,Latvia,Europe
3121.643,73.6,2021,Latvia,Europe
2310.019,82.1,2015,Isreal,Asia
2524.083,82.5,2016,Isreal,Asia
2626.181,82.7,2017,Isreal,Asia
2748.975,82.8,2018,Isreal,Asia
2709.984,82.8,2019,Isreal,Asia
2875.281,82.4,2020,Isreal,Asia
3258.018,82.3,2021,Isreal,Asia
1062.591,74.7,2015,Mexico,North America
1102.809,74.4,2016,Mexico,North America
1099.647,74.1,2017,Mexico,North America
1122.178,74.0,2018,Mexico,North America
1117.235,74.2,2019,Mexico,North America
1226.606,70.1,2020,Mexico,North America
1262.436,70.2,2021,Mexico,North America
4927.104,81.5,2015,Netherlands,Europe
5095.836,81.5,2016,Netherlands,Europe
5253.774,81.7,2017,Netherlands,Europe
5482.27,81.8,2018,Netherlands,Europe
5643.59,82.0,2019,Netherlands,Europe
6192.982,81.6,2020,Netherlands,Europe
6739.052,81.7,2021,Netherlands,Europe
1818.883,77.4,2015,Poland,Europe
1959.094,77.8,2016,Poland,Europe
2062.735,77.7,2017,Poland,Europe
2106.662,77.6,2018,Poland,Europe
2232.347,77.9,2019,Poland,Europe
2286.109,76.9,2020,Poland,Europe
2522.435,76.5,2021,Poland,Europe
2635.561,81.2,2015,Portugal,Europe
2815.177,81.2,2016,Portugal,Europe
2906.395,81.5,2017,Portugal,Europe
3134.128,81.4,2018,Portugal,Europe
3223.676,81.7,2019,Portugal,Europe
3354.909,81.1,2020,Portugal,Europe
3829.76,81.0,2021,Portugal,Europe
2579.281,80.8,2015,Slovenia,Europe
2738.221,81.2,2016,Slovenia,Europe
2832.649,81.1,2017,Slovenia,Europe
3045.106,81.4,2018,Slovenia,Europe
3221.895,81.6,2019,Slovenia,Europe
3474.147,80.4,2020,Slovenia,Europe
3884.819,80.7,2021,Slovenia,Europe
5004.13,82.2,2015,Sweden,Europe
5127.577,82.3,2016,Sweden,Europe
5219.411,82.4,2017,Sweden,Europe
5419.273,82.5,2018,Sweden,Europe
5387.733,83.1,2019,Sweden,Europe
5733.534,82.4,2020,Sweden,Europe
6227.612,83.0,2021,Sweden,Europe
2465.926,82.6,2015,Korea,Asia
2645.637,82.9,2016,Korea,Asia
2787.255,83.3,2017,Korea,Asia
3067.115,83.3,2018,Korea,Asia
3290.825,83.7,2019,Korea,Asia
3590.183,83.6,2020,Korea,Asia
4189.091,83.7,2021,Korea,Asia
1040.108,76.6,2015,Türkiye,Europe
1128.754,76.7,2016,Türkiye,Europe
1175.655,77.1,2017,Türkiye,Europe
1205.305,77.6,2018,Türkiye,Europe
1231.634,77.8,2019,Türkiye,Europe
1304.709,75.9,2020,Türkiye,Europe
1559.535,76.0,2021,Türkiye,Europe
9360.496,78.9,2015,United States,North America
9722.862,78.8,2016,United States,North America
10045.033,78.8,2017,United States,North America
10447.293,79.0,2018,United States,North America
10852.838,79.1,2019,United States,North America
11915.945,77.4,2020,United States,North America
12196.966,77.2,2021,United States,North America
5726.877,82.3,2015,Norway,Europe
5904.222,82.4,2016,Norway,Europe
6234.379,82.6,2017,Norway,Europe
6495.078,82.8,2018,Norway,Europe
6476.378,83.0,2019,Norway,Europe
6581.629,83.2,2020,Norway,Europe
7042.618,83.2,2021,Norway,Europe
4515.556,83.9,2015,Japan,Asia
4295.858,84.1,2016,Japan,Asia
4412.852,84.2,2017,Japan,Asia
4554.276,84.3,2018,Japan,Asia
4610.794,84.4,2019,Japan,Asia
4619.518,84.7,2020,Japan,Asia
4899.088,84.8,2021,Japan,Asia
1833.552,79.7,2015,Chile,South America
1941.256,80.1,2016,Chile,South America
2119.552,80.4,2017,Chile,South America
2281.148,80.1,2018,Chile,South America
2296.988,80.3,2019,Chile,South America
2417.384,79.4,2020,Chile,South America
2677.127,78.9,2021,Chile,South America
2605.889,78.6,2015,Czechia,Europe
2798.379,79.0,2016,Czechia,Europe
2969.542,79.0,2017,Czechia,Europe
3128.523,79.0,2018,Czechia,Europe
3272.224,79.2,2019,Czechia,Europe
3804.101,78.6,2020,Czechia,Europe
4302.98,77.7,2021,Czechia,Europe
3500.719,82.0,2015,New Zealand,Oceania
3732.589,82.1,2016,New Zealand,Oceania
3842.325,82.2,2017,New Zealand,Oceania
3913.078,82.4,2018,New Zealand,Oceania
4249.593,82.6,2019,New Zealand,Oceania
4469.383,82.7,2020,New Zealand,Oceania
4921.245,82.5,2021,New Zealand,Oceania
